-0.18	0.00
0.05	0.09
0.12	6.73
0.32	76.61
0.53	96.34
0.69	102.89
0.91	75.80
1.14	61.76
1.38	44.76
1.65	35.82
1.90	30.81
2.11	26.43
2.45	12.61
2.68	9.25
2.87	8.50
3.30	4.16
3.79	2.80
4.24	1.57
4.99	1.48
5.94	1.51
7.02	1.12
8.03	0.95
8.93	0.91
10.09	0.44
11.05	0.49
15.01	0.35
