0.0	-1.0000	0.1895	0.2417	1.3195	8.5777	3.0605	0.0044	0.0007
5.0	-1.0000	0.3521	-1.0000	1.4295	3.4987	-1.0000	0.0046	0.0192
7.0	-1.0000	0.2487	-1.0000	0.8180	10.5334	-1.0000	0.0416	0.0317
10.0	0.0999	0.5106	-1.0000	1.1517	5.9704	2.9129	0.0463	0.0273
17.0	0.6344	0.4036	-1.0000	0.4259	3.3297	2.9985	0.0934	0.0371
24.0	1.1504	0.3690	0.0004	0.2510	1.7157	-1.0000	0.0575	0.0471
31.0	1.6296	0.3077	0.0126	0.0501	0.7530	3.1529	0.0546	0.0521
37.0	1.2922	0.3579	0.0174	0.5286	1.0691	3.0750	0.0413	0.0594
44.0	1.0342	0.3735	0.0141	0.2847	1.1453	3.2158	0.0442	0.1011
53.0	1.0225	0.4720	0.0064	0.4650	4.5801	2.9807	0.0276	0.0722
59.0	0.7216	0.5074	0.0235	0.5689	2.9736	2.8939	0.0233	0.0414
66.0	0.6526	0.5423	0.0374	0.5909	3.2478	2.9975	0.0198	0.0387
73.0	-1.0000	-1.0000	-1.0000	-1.0000	1.8660	2.9611	0.0168	0.0362
80.0	0.3391	0.5993	0.0010	0.3537	2.0361	-1.0000	0.0172	0.0348
91.0	0.3461	0.4997	0.0024	0.5116	2.7467	3.0154	0.0130	0.0264
106.0	-1.0000	0.4831	0.0306	0.6888	3.6750	3.0913	0.0106	0.0154
119.0	0.1576	0.4212	0.0371	0.7683	3.3274	2.7452	0.0088	0.0114
137.0	-1.0000	0.4317	0.1173	1.1288	5.3504	-1.0000	0.0084	0.0106
149.0	0.1446	0.3854	0.1179	0.8391	5.0567	2.6734	0.0094	0.0119
169.0	0.1899	0.3636	0.2291	0.9818	4.4477	3.3179	0.0075	0.0152
203.0	0.1230	0.3559	0.2327	0.9475	4.1176	-1.0000	0.0074	0.0198
234.0	-1.0000	0.2750	0.1645	1.1045	3.3748	-1.0000	0.0080	0.0191
267	-1.0000	0.2243	0.1614	1.0008	4.3938	2.9809	0.0119	0.0117
304	-1.0000	0.2264	0.0800	1.1992	4.6342	2.9068	0.0077	0.0096
401	0.0000	0.4635	0.2139	0.8943	4.1477	2.7889	0.0067	0.0064
