0	-1.0000	0.1884	0.2173	1.2668	8.6144	2.9616	0.0047	0.0009
5	0.0179	0.1369	-1.0000	0.5653	8.8434	-1.0000	0.0198	0.0079
7	0.0476	0.2645	-1.0000	0.9290	9.7572	-1.0000	0.0488	0.0067
10	0.0744	0.5689	-1.0000	1.0257	5.2905	2.9418	0.0358	0.0055
17	1.4981	0.4901	-1.0000	0.0049	0.1430	2.8875	0.0527	0.0140
24	1.2061	0.3869	-1.0000	0.1403	0.7901	-1.0000	0.0564	0.0063
31	0.5274	0.3001	0.0137	0.3886	0.8317	2.9712	0.0223	0.0055
37	0.2700	0.3564	0.0156	0.9309	2.0684	2.9821	0.0182	0.0045
44	0.1437	0.3677	0.0170	0.7783	4.3756	3.0302	0.0150	0.0043
53	0.0748	0.4972	0.0477	0.9117	8.7480	3.0020	0.0105	0.0036
59	0.0856	0.5205	0.1429	0.9912	5.2082	2.9015	0.0075	0.0028
66	0.0984	0.5521	0.1764	1.0055	5.6777	3.0751	0.0074	0.0027
73	0.0167	-1.0000	0.1774	0.9898	4.1718	3.1095	0.0067	0.0027
78	-1.0000	0.6043	0.2564	0.9825	5.1323	-1.0000	0.0065	0.0023
91	0.0248	0.4921	0.1896	0.9589	4.8485	3.0531	0.0073	0.0024
106	-1.0000	0.4680	0.2370	0.9632	5.0618	2.9841	0.0072	0.0022
119	-1.0000	0.4042	0.1398	0.8801	3.5612	2.6458	0.0114	0.0024
137	-1.0000	0.4331	0.2356	1.2518	5.3825	-1.0000	0.0127	0.0023
149	-1.0000	0.3847	0.4272	1.0367	5.5709	2.6038	0.0085	0.0021
169	-1.0000	0.3587	0.4567	1.0870	5.4103	3.2430	0.0065	0.0023
203	-1.0000	0.3229	0.6834	1.1454	5.9818	-1.0000	0.0051	0.0019
234	-1.0000	0.2675	0.2949	1.1018	5.4330	-1.0000	0.0059	0.0020
267	0.0000	0.0000	0.0000	0.0000	-1.0000	-1.0000	-1.0000	-1.0000
304	-1.0000	0.7995	-1.0000	0.5440	0.7202	4.2811	0.0064	0.5745
401	0.0000	0.9027	-1.0000	0.3153	1.5710	5.7520	0.0090	0.8185
