0	-1.0000	0.1933	0.1728	1.1287	8.7137	3.0141	0.0042	0.0062
5	0.1149	0.2364	-1.0000	0.4536	10.4455	-1.0000	0.1747	0.0134
7	0.0455	0.4235	-1.0000	0.7575	10.5948	-1.0000	0.1905	0.0138
10	0.1057	0.6067	-1.0000	0.7339	4.8358	2.9701	0.1697	0.0148
17	0.9301	0.8125	-1.0000	0.0102	1.6514	3.4207	0.2001	0.0194
24	1.2034	0.5371	0.0006	0.0022	1.0082	-1.0000	0.1524	0.0204
31	0.8490	0.4057	0.0191	0.0041	0.5194	3.0720	0.1041	0.0258
37	0.5961	0.5665	0.0175	0.1629	0.4658	2.8878	0.0435	0.0261
44	0.3289	0.4216	0.0204	0.2632	0.6755	2.8175	0.0292	0.0266
53	0.0531	0.5065	0.0000	0.4823	1.3099	2.8725	0.0205	0.0132
59	0.0582	0.5301	0.0171	0.5432	1.6554	2.8454	0.0161	0.0120
66	0.0209	0.5811	0.0187	0.6480	2.7068	2.8779	0.0126	0.0106
73	-1.0000	-1.0000	-1.0000	-1.0000	2.7827	3.1037	0.0119	0.0106
80	-1.0000	0.6194	0.0013	0.8392	3.7391	-1.0000	0.0169	0.0089
91	-1.0000	0.5340	0.0087	1.1175	5.3378	3.1283	0.0134	0.0054
106	-1.0000	0.4943	0.0408	0.9792	4.8914	3.0972	0.0130	0.0056
119	-1.0000	0.4181	0.0583	0.9305	4.2764	2.7710	0.0120	0.0051
137	-1.0000	0.4437	0.1174	1.2603	5.9136	-1.0000	0.0113	0.0064
149	-1.0000	0.3945	0.2168	1.0897	6.1543	2.6250	0.0091	0.0049
169	-1.0000	0.3646	0.2791	1.2087	5.6432	3.2278	0.0056	0.0049
203	0.0396	0.3198	0.4936	1.1431	5.6710	-1.0000	0.0055	0.0039
234	-1.0000	0.2801	0.2231	1.0273	5.4391	-1.0000	0.0076	0.0049
267	-1.0000	0.2167	0.2034	0.9813	5.1449	2.9253	0.0041	0.0037
304	-1.0000	0.2297	0.2039	1.1457	5.1971	2.9082	0.0034	0.0030
401	0.0000	0.3887	0.2035	0.7998	4.0145	2.7835	0.0035	0.0023
