0	-1.0000	0.2079	0.2710	1.0389	5.4486	5.3096	0.0042	0.0014
5	-1.0000	0.1527	-1.0000	0.1775	8.6059	-1.0000	0.0189	0.0316
7	0.3169	0.5555	-1.0000	0.5614	5.3288	-1.0000	0.0593	0.0295
10	0.0568	0.8853	-1.0000	0.7159	5.8002	2.9435	0.0663	0.0262
17	0.5655	0.8316	-1.0000	0.3818	2.9616	2.8617	0.0936	0.0307
24	1.0793	0.5415	0.0012	0.0576	1.8979	-1.0000	0.1006	0.0754
31	1.6826	0.5192	0.0164	0.0016	0.7990	3.1363	0.1213	0.0871
37	1.3881	0.6730	0.0196	0.0141	0.6473	2.8442	0.0727	0.0954
44	1.2402	0.5250	0.0166	0.0293	0.5559	3.0173	0.0735	0.1280
53	0.7292	0.5679	0.0000	0.1199	0.5350	2.8100	0.0409	0.1194
59	0.6927	0.5990	0.0129	0.1434	0.5504	2.7941	0.0308	0.0725
66	0.6335	0.6366	0.0238	0.1770	0.5238	2.7275	0.0224	0.0695
73	-1.0000	-1.0000	-1.0000	-1.0000	0.4073	3.0097	0.0155	0.0590
80	0.4707	0.6384	-1.0000	0.0730	0.4429	-1.0000	0.0174	0.0593
91	0.5087	0.5538	-1.0000	0.3120	1.2729	3.0797	0.0154	0.0573
106	0.2066	0.5045	0.0086	0.4042	2.4381	3.0312	0.0204	0.0593
119	0.3818	0.4363	0.0115	0.2907	1.2545	2.7483	0.0127	0.0489
137	0.4734	0.4584	0.0158	0.2468	1.9225	-1.0000	0.0231	0.0530
149	0.4718	0.4093	0.0075	0.1778	1.6338	2.6400	0.0204	0.0500
169	0.2311	0.3751	0.0107	0.2821	2.6408	3.2335	0.0171	0.0571
203	0.0657	0.3365	0.0265	0.5791	4.3574	-1.0000	0.0084	0.0443
234	-1.0000	0.2976	0.0115	0.8577	4.4602	-1.0000	0.0129	0.0399
267	-1.0000	0.2184	0.0026	0.7268	3.4318	2.7249	0.0156	0.0471
304	-1.0000	0.2206	0.0107	0.9081	3.3298	2.5270	0.0161	0.0370
401	0.0000	0.5687	0.0210	0.8653	3.3767	2.6707	0.0164	0.0315
