0	0.0000	0.2162	0.3100	0.9855	5.2766	3.0407	0.0036	0.0012
5	0.2975	0.2634	0.0122	0.3847	9.6712	-1.0000	0.0477	0.0100
7	0.4187	0.4731	-1.0000	0.6487	9.2001	-1.0000	0.1381	0.1390
10	0.6674	0.5963	-1.0000	0.4159	1.3682	2.6071	0.2002	0.0108
17	1.8198	0.9402	-1.0000	0.0066	0.0712	2.9450	0.1228	0.0113
24	2.4489	0.6418	0.0002	0.0094	0.0855	-1.0000	0.2653	0.0146
31	1.7560	0.4529	0.0183	0.0334	0.0916	2.8677	0.1034	0.0100
37	1.9818	0.5286	0.0170	0.0891	0.0806	2.7892	0.0373	0.0081
44	1.5884	0.4573	0.0166	0.2333	0.2309	2.9837	0.0316	0.0072
53	1.3344	0.4910	-1.0000	0.3328	0.8452	2.8719	0.0185	0.0048
59	1.4052	0.5511	0.0142	0.4263	0.5861	2.8398	0.0156	0.0038
66	1.1570	0.6031	0.0182	0.2958	1.0715	2.8867	0.0162	0.0125
73	0.9167	-1.0000	0.0008	0.3571	0.9395	2.9536	0.0157	0.0186
80	0.8216	0.6424	0.0005	0.3951	1.4664	-1.0000	0.0103	0.0089
91	0.9825	0.5397	0.0027	0.4822	1.2279	2.9795	0.0093	0.0096
106	0.9217	0.5050	-1.0000	0.3289	0.7286	3.1327	0.0154	0.0100
119	0.8418	0.6194	-1.0000	0.0967	0.1531	3.9536	0.0748	0.0234
137	0.8481	0.4610	-1.0000	0.1078	0.1819	-1.0000	0.1073	0.0276
149	0.4132	0.3982	0.0032	0.2268	0.9127	2.9155	0.0371	0.0182
169	0.1518	0.3899	0.0054	0.1571	1.7661	3.3843	0.0235	0.0193
203	-1.0000	0.3607	0.0295	0.4797	3.2848	-1.0000	0.0194	0.0173
234	-1.0000	0.2958	0.0275	0.6300	2.3810	-1.0000	0.0080	0.0107
267	-1.0000	0.2171	0.1302	0.9239	4.6634	2.7906	0.0070	0.0054
304	-1.0000	0.2399	0.0900	0.9124	4.7157	2.6968	0.0042	0.0033
401	0.0000	0.6906	0.2368	0.8039	3.8630	2.8588	0.0016	0.0038
